symbol,vol,cluster_name,cluster
RLUSD,0.004384118677072603,low_vol,0
GHO,0.01787283976835109,low_vol,0
ALE,0.17039951934285116,low_vol,0
FTN,0.22622743236441847,low_vol,0
JLP,0.29799158804556386,low_vol,0
LGCT,0.3407004451239696,low_vol,0
LEO,0.3443362368258052,low_vol,0
TRX,0.39427382434793923,low_vol,0
GT,0.4510563809514348,low_vol,0
BDX,0.45804539943771366,low_vol,0
NFT,0.47677183758861175,low_vol,0
MX,0.4771647955915805,low_vol,0
BTC,0.48174094157966907,low_vol,0
BNB,0.5207972864670477,low_vol,0
JST,0.5227200626450759,low_vol,0
OKB,0.526226969234955,low_vol,0
KCS,0.5263335011813888,low_vol,0
NEXO,0.537504006429661,low_vol,0
XMR,0.5551511349745507,low_vol,0
BGB,0.5644190707848046,low_vol,0
UPC,0.5749367448662577,low_vol,0
GOMINING,0.57590031223593,low_vol,0
SFP,0.5888188342088457,low_vol,0
XDC,0.6276301780256689,low_vol,0
XLM,0.6416875694349933,low_vol,0
LTC,0.6529906554533111,low_vol,0
SUN,0.654620339017745,low_vol,0
BTT,0.6599910610102269,low_vol,0
ETH,0.6674335020439175,low_vol,0
DASH,0.674315267342865,low_vol,0
TWT,0.7023277055000847,low_vol,0
YFI,0.7126940123343004,low_vol,0
TON,0.7135157630093256,low_vol,0
XRP,0.7292383577221224,low_vol,0
ATOM,0.7360214616221276,low_vol,0
ZIL,0.7451614157111938,low_vol,0
XCH,0.7456527895303643,low_vol,0
KOGE,0.7468884708537806,low_vol,0
SC,0.7514713511221942,low_vol,0
ETC,0.7517278084008401,low_vol,0
BCH,0.7567644503627965,low_vol,0
DOT,0.7602630147621979,low_vol,0
ELF,0.7621080989682134,low_vol,0
XTZ,0.7668788033072522,low_vol,0
VVS,0.7673029364961098,low_vol,0
AWE,0.7673099793649718,low_vol,0
QTUM,0.7694718201897718,low_vol,0
TFUEL,0.7752783503821956,low_vol,0
ADA,0.7806241399421755,low_vol,0
GNO,0.781294691485628,low_vol,0
KAVA,0.7852236457094569,low_vol,0
MNT,0.786853273588793,low_vol,0
BORG,0.7898397916303213,low_vol,0
DCR,0.7918346195587603,low_vol,0
ANKR,0.7978508235259936,low_vol,0
MANA,0.8030429876521865,low_vol,0
CRO,0.8031772349358876,low_vol,0
SOSO,0.8067801499346344,low_vol,0
XEC,0.8097979877906151,low_vol,0
NEO,0.8135784883868791,low_vol,0
ICX,0.8173465192048958,low_vol,0
VET,0.8180590046017396,low_vol,0
FLOW,0.8213122528530257,low_vol,0
SAND,0.8236943269384465,low_vol,0
POL,0.8242676658835838,low_vol,0
COMP,0.8260456722673796,low_vol,0
ASTR,0.830004307052141,low_vol,0
LINK,0.8345385661662493,low_vol,0
CTC,0.8396097311907308,low_vol,0
GLM,0.8404327354364124,low_vol,0
PROM,0.8405295025522859,low_vol,0
SOL,0.8477689836151774,low_vol,0
ZEC,0.854076186260888,low_vol,0
AMP,0.8598913601007317,low_vol,0
RVN,0.8607763374033937,low_vol,0
SHIB,0.8625427772857366,low_vol,0
KAIA,0.8664401673109465,low_vol,0
AXS,0.8671944421488716,low_vol,0
EGLD,0.8681326888288595,low_vol,0
T,0.8688764043691468,low_vol,0
CELO,0.8729955067498021,low_vol,0
1INCH,0.8815271489313461,low_vol,0
VENOM,0.8832366777882296,low_vol,0
MINA,0.8866529027120326,low_vol,0
IOTA,0.8876934747393832,low_vol,0
HOT,0.8882248255591341,low_vol,0
GAS,0.8890062059858098,low_vol,0
CHZ,0.8903245655250646,low_vol,0
FIL,0.8912986934300979,low_vol,0
ICP,0.8951914240530718,low_vol,0
KSM,0.9024398083730475,low_vol,0
CAKE,0.9086149033395874,low_vol,0
WMTX,0.909367781354881,low_vol,0
ALGO,0.9143056873995304,low_vol,0
ZRX,0.9159385753780491,low_vol,0
SKY,0.9168042458511554,low_vol,0
WAVES,0.9217262350294553,low_vol,0
STIK,0.9221883669380154,low_vol,0
AAVE,0.9268717657199924,low_vol,0
DGB,0.9271535655306461,low_vol,0
DOGE,0.9285236792478317,low_vol,0
APT,0.9350996947837318,low_vol,0
AVAX,0.9411539060791737,low_vol,0
DEXE,0.9414800256651854,low_vol,0
LUNC,0.941812069983873,low_vol,0
RON,0.942334923885307,low_vol,0
BSV,0.9427240361891469,low_vol,0
DYDX,0.94340990819351,low_vol,0
